Etjuhundur	Sporhundur
Imleitur	Dökkur ásýndum
Fákalitill	Hæglátur og þrúður
Rafel	Húfa gerð úr feldi marðardýrs
Tínamúi	Fuglategund, einnig kölluð hænsnabróðir
Mersli	Marblettur
Riðanæli	Fiskseiði
Glermey	Undirættbálkur skordýra af ættbálki vogvængna
Steylur	Langir og klunnalegir fætur
Kakbretta	Mjúkur ostur
Kantilía	Silfrað eða gyllt band úr vírþræði sem notað er við útsaum
Mýeldur	Mikið af einhverju
Gerling	Smit eða sýking
Fílipus	Er gæluheiti á núllvalda fylki í stærðfræði: 2x2 fylki með núll í öllum reitum nema einum.
Futtungur	Snúður
Kambpungur	Taska fyrir bréf eða skjöl
Rádýr	Dýrategund af ætt hjartardýra
Köngulskot	Lítið skarð við heilaköngulinn
Skjákrummi	Forvitinn maður
Fársætandi	Óvinur
Tísaldi	Smávaxinn maður
Smiðmess	Eggjárn með tveimur handföngum
Karthaus	Kaktus
Krefeti	Aumingi
Pöpulrás	Sifelldur straumur gesta sem koma og fara
Örsauði	Kindalaus maður. Sá sem á engan sauð er sagður örsauði.
Dornik	Raul eða söngl
Að vinda loftkött	Að lyfta einhverju eða einhverjum upp yfir höfuð sér
Flygg	Tröllkona, notað í rímnakveðskap
Skyndiklauf	Lauslát stúlka
Faribjór	Skinn af sjálfdauðri skepnu
Safnkál	Súr skyrhræringur með káli
Lopasegl	Letingi
Kafhriða	Útblásinn hákarlsmagi
Dörslag	Sigti
Drekakollur	Ættkvísl innan varablómaættar
Ófeigseyru	Holdsepar við hjartarætur sláturdýra
Fylkja hamalt	Að raða herliði upp þannig að skjöldur nemi við skjöld
Stílhyrna	Nabbi sem skagar út úr beini
Hveita	Myrkfælni
Trinta	Klettadrangur eða -strýta
Þallarbróðir	Hávaxið, sígrænt tré af þallarætt
Urraraætt	Ættkvísl fiska
Apatít	Apatít er tegund steinefna sem finnst meðal annars í glerungi tanna
Laustik	Næturgali, fugl af þrastarætt
Ógnarbíldur	Grimmt bjarndýr
Í hím og ham	Orðatiltæki sem merkir að vera á báðum áttum
Keyfa	Að ganga þunglamalega
Speja	Fornt orð notað um að njósna. Dæmi: „Mörður spejaði um Njál."
Gangari	Reiðhestur
Transeyði	Kind með útstæðan neðri skolt
Skálamöbur	Ættbálkur slímdýra
Indúls	Innyfli (t.d. úr smokkfiski eða kolkrabba)
Snöttungur	Gamalt orð yfir ræningja
Rummungur	Stórtækur þjófur
Stjarnmeiti	Djúpfiskur af djúpskeggjætt
Terjulegur	Flókinn, sem erfitt er að greiða úr
Snerrusnápur	Þrætugjarn náungi
Ortóklas	Algengur steinn í storkubergi
Spanga	Að faðma
Kjusa	Húfa með uppmjórri hettu
Skældingur	Lélegt skáld
Gjáni	Kjáni
Þaulast	Að vera lengi að einhverju
Eftirmjölt	Síðasta mjólkin sem kemur úr spenum kýr
Spégauti	Hnappagat
Skjuð	Ská- eða hringsníðið stykki á flík
Ákneiki	Skandall eða hneisa
Snargöndull	Snurða á harðsnúnum þræði
Adamsletur	Dulmál
Sorghús	Safnaðarheimili shía-múslíma. Á arabísku: Hussainia.
Rákahörvi	Mjög sjaldgæf tegund sæsnigla
Salgófnir	Skáldlegt heiti yfir hana
Munnmet	Ráð sem veitt er í fljótfærni
Amía	Unnusta
Lýflingur	Álfur
Stigli	Lítill þrjónaður fleygur, saumaður í ermar og bol á peysu til að víkka handveginn.
Dörsæfður	Að vera dörsæfður er að vera drepinn
Pilslaki	Lélegt pils eða garmur
Tröllepli	Nýyrði um melónu
Rexín	Leðurlíki sem notað er við bókband
Skúfagómur	Stórvaxin hákarlstegund
Rangareyra	Efsti hluti bands í bát
Kaplabrinki	Fuglinn svartbakur
Pússandi	Stinningsvindur með snjókomu
Dólpungur	Feitt barn
Óbiðingur	Sá sem flýr af hólmi, sbr. bíður ekki.
Líkaböng	Klukka sem hringt er við jarðarfarir
Trys	Verðlaus hlutur. Dæmi: „Þetta er sko ekkert trys."
Eljunströnd	Brjóst
Fjalak	Hólf milli þils og veggjar
Gyðla	Lirfa skordýrs sem tekur ófullkominna myndbreytingu
Kramna	Að kvarta yfir einhverju
Jónskoti	Vægt blótsyrði, sbr. déskoti
Pimpsteinn	Byggingarsteinn úr vikri
Skeftifletta	Spjót
Piparlingur	Pípusveppstegund
Skitinhæla	Kvenkynsútgáfa af orðinu skíthæll
Stirsla	Fornt orð yfir afturenda
Súkra	Gjaldmiðill Ekvadors
Hindla	Ungur kvenhjörtur (hind)
Næræta	Sá sem reynir að borða eingöngu mat sem framleiddur er í næsta nágrenni við hann
Kavia	Skósíð kápa með stórum kraga sem var algeng ferðaföt karlmanna á 19. öld
Láta síga á hömlu	Að róa hægt aftur á bak
Kollindoðrulegur	Kollindoðrulegur er notað til að lýsa sviplausum manni
Roðhundur	Lélegt spil. Dæmi: „Ég er með óttalega roðhunda á hendi."
Darka	Að arka
Friðgin	Foreldar og börn. Í ætt við orðin feðgin og mæðgin.
Hýkorn	Dálítið af stuttu, mjúku hári
Að gera einhverjum bróðolíur	Að valda einhverjum skaða
Döddur	Eggjarauða
Bekkjarýja	Borðtuska
Að beita gemlingunum	Að láta tærnar standa út um göt á sokkunum
Epjast	Að teygjast og aflagast, notað yfir föt og skó
Fishæll	Hælsæri
Páskabróðir	Fyrsti sunnudagur eftir páska
Sauðamergur	Íslensk plöntutegund með bleikum blómum
Riðari	Fornt orð sem merkir riddari
Sinnóber	Rauð steintegund sem er sambland kvikasilfurs og brennisteins
Jakobsland	Norðurhluti Spánar, þar sem Jakob postuli stundaði trúboð
Tottlegur	Magur og laslegur
Hurpa	Hrukkótt kerling
Einbægslingur	Sverðfiskur
Virgull	Hengingaról
Tussi	Lítill poki
Ræpingur	Það að slá gras á litlum dreifðum blettum
Klonk	Að klonka er að herma eftir krunki hrafnsins en slíkt átti að boða rigningu
Lækjarkatrín	Niðurgangur
Pennaljómi	Maður með fallega rithönd
Skussél	Horn eða skot í húsi
Að vera eins og skitur á skjá	Að vera á sífellu flakki
Spáða	Ung stúlka
Peðringur	Eitthvað sem er dreift í smáum skömmtum. Dæmi: „Páll peðraði peningum sínum."
Hélurani	Bjöllutegund af ranabjölluætt, algeng á Íslandi
Sprettilræða	Stutt gamansaga
Bómstur	Svellbunki
Buffeit	Kinnhestur, þ.e. að slá einhvern utanundir
Smergill	Óhreint og kornótt afbrigði gimsteins
Freyðraður	Aðeins farinn að mygla
Dringull	Lítill heybaggi
Að vera upp á rasshöndina	Að vera örvhendur
Gura	Vindhviða
Kanabragð	Sérstakur hnútur, notaður til að binda reipí við stefni báts
Raukn	Dráttardýr
Rósm	Sorp
Að bera bottatildi	Að kveða klámfengnar vísur
Borra	Að hósta
Seintíver	Latur maður sem mætir of seint til vinnu
Svardónar	Forn þjóðflokkur Germana sem dýrkuðu gyðjuna Nerþus
Damla	Nýstrokkuð smjörskaka
Roket	Hvítur serkur með þröngum ermum
Baggaeff	Sérstök gerð bókstafsins f í gamalli skrift
Ötufær	Hestur sem er fær í hestaat
Smykkjur	Litlir vettlingar
Umbogi	Umhyggja
Að grípa í rass á góðum degi	Að missa af góðu tækifæri
Safali	Dýr af marðarætt sem lifir í Asíu og hefur mjög verðmætan feld
Muntún	Konubrjóst
Bréfafélagi	Meðlimur í félagi sem getur ekki mætt á fundi en fær samt útgáfurit félagsins
Riðgála	Afbrigði af silungi
Kon	Gamalt nýyrði fyrir gen
Opinrass	Sá sem lokar ekki hurðum á eftir sér
Skerlingur	Hálfvaxinn súluungi
Glesja	Grind með ílátum fyrir salt og pipar
Fjallafála	Óþekk ær sem leitar alltaf aftur upp til fjalla
Blöndulókur	Horaður silungur
Salún	Tegund vefnaðarvöru sem notuð er í rúmábreiður
Apur	Apur þýðir kuldalegur eða bitur og er notað bæði um veður og skap
Hreinbjálfi	Hreindýrsskinn
Flóðflýtur	Gamalt heiti yfir fuglinn flórgoða
Dont	Verk eða starf
Pispónn	Annað orð yfir barrtréstegundina lindifuru
Öndóttur	Sá sem sagður er öndóttur er grimmdarlegur
Vígindi	Línur í viði
Klektunarmaður	Maður sem er leiksoppur annorra
Fá flatsóp	Að lenda í hrakningum
Rympill	Sá sem er lítill í sér en mikill á lofti
Semjukvísl	Knippi af taugum sem liggur frá höfði niður í rófubein
Ingólfsdrekka	Sælindýr af drekkuætt
Garnavindill	Súrsaður matur þar sem þarmar eru vafðir utan um ristilbúta
Guddilon	Hálfgerður ræfill
Ótili	Mikill fjöldi af einhverju, svo að segja 
Að skíta á lásinn við einhvern	Að skipta sér af tali annarra
Brísi	Eldur
Drýsildrjóli	Hnykill eða eitthvað lítið
Undirben	Flokkur sauðfjármarka
Ígultanni	Björn
Flikruvefari	Fiðrildi af vefarætt, algengt á sunnanverðu Íslandi og lifir á körfublómum
Vaðkrumla	Sínadráttur í hendi
Gulfurslegur	Eitthvað lausþrjónað eða úr grófu bandi
Spínill	Hálfgagnsær gimsteinn með ýmsum litarafbrigðum
Sestína	Órímaður og flókinn bragarháttur frá 12. öld sem er nær óþekktur á Íslandi
Frónband	Hafið
Bjannak	Blessun
Kallsa	Að stinga upp á einhverju. Dæmi: „Ég kallsaði það við Gunnar að fara í sund."
Gullapaldur	Appelsínutré
Neppur	Feigur, sagt um þann sem er við það að deyja
Boðbildur	Sérstakt mark í eyra kindar
Fobrulegur	Hvumpinn
Rófukjarni	Ákveðinn hluti heilans sem tilheyrir heilabotnskjörnum
Hriki	Hávaxinn maður
Bamlaður	Bæklaður
Detthendur	Um bragarhátt sem hefur hnígandi hrynjandi
Sjóli	Konungur
Byxing	Harkaleg meðferð
Bos	Hreiður eða bæli
Að hefta hunda	Að híka í lestri
Takfæð	Sama og fátækt, sett saman á annan hátt
Snípuludda	Tegund af flugu sem lifir á því að sjúga blóð úr spendýrum og fuglum
Kastarholubúskapur	Léleg eða frumstæð matreiðsla
Drigli	Eitthvað rennandi blautt
Mungát	Heimabruggaður bjór
